VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"LAT22ANN","Annual Latitude Equals Tilt Irradiance",151388.520000001,4.72542747448265,7,0,42
"DNI22JAN","January Direct Normal Irradiance",102235.25,3.19116178168993,7.33,0,42
"DNI22FEB","February Direct Normal Irradiance",117578.2,3.67007522552049,7.66,0,42
"DNI22MAR","March Direct Normal Irradiance",136616.33,4.26432968130599,8.57,0,42
"DNI22APR","April Direct Normal Irradiance",154901,4.83506570527827,9,0,42
"DNI22MAY","May Direct Normal Irradiance",157049,4.90211318163374,10,0,42
"DNI22JUN","June Direct Normal Irradiance",167642,5.23276211880014,11,0,42
"DNI22JUL","July Direct Normal Irradiance",173685,5.42138777039049,10,0,42
"DNI22AUG","August Direct Normal Irradiance",162500,5.07226019914474,10,0,42
"DNI22SEP","September Direct Normal Irradiance",151812,4.73864594063114,9,0,42
"DNI22OCT","October Direct Normal Irradiance",126797,3.95783000905203,8,0,42
"DNI22NOV","November Direct Normal Irradiance",107101,3.34304085900677,8,0,42
"DNI22DEC","December Direct Normal Irradiance",96364,3.00789711895621,7,0,42
"GHI22JAN","January Global Horizonal Irradiance",66566,2.07778506102319,4,0,43
"GHI22FEB","February Global Horizonal Irradiance",89453,2.7921777944252,5,0,42
"GHI22MAR","March Global Horizonal Irradiance",126304,3.94244155195555,6,0,42
"GHI22APR","April Global Horizonal Irradiance",162836,5.08274807254112,7,0,42
"GHI22MAY","May Global Horizonal Irradiance",184150,5.74804132721541,8,0,42
"GHI22JUN","June Global Horizonal Irradiance",195314,6.09651340637388,9,0,42
"GHI22JUL","July Global Horizonal Irradiance",196484,6.13303367980772,8,0,42
"GHI22AUG","August Global Horizonal Irradiance",174770,5.45525486156631,8,0,42
"GHI22SEP","September Global Horizonal Irradiance",144329,4.50507226019914,6,0,42
"GHI22OCT","October Global Horizonal Irradiance",105391,3.28966507475731,5,0,42
"GHI22NOV","November Global Horizonal Irradiance",74840,2.33604894340918,5,0,43
"GHI22DEC","December Global Horizonal Irradiance",58963,1.84046571152105,4,0,43
"LAT22JAN","January Latitude Equals Tilt Irradiance",110427.739999999,3.44688141835999,6.23,0,42
"LAT22FEB","February Latitude Equals Tilt Irradiance",131257.979999999,4.0970746324562,6.71,0,42
"LAT22MAR","March Latitude Equals Tilt Irradiance",154386.009999998,4.81899085432464,7.4,0,42
"LAT22APR","April Latitude Equals Tilt Irradiance",170946.930000002,5.33592190279994,7.7,0,42
"LAT22MAY","May Latitude Equals Tilt Irradiance",173470.090000001,5.41467958922499,7.53,0,42
"LAT22JUN","June Latitude Equals Tilt Irradiance",176221.199999999,5.50055248618781,7.51,0,42
"LAT22JUL","July Latitude Equals Tilt Irradiance",181296.120000002,5.65896057683311,7.52,0,42
"LAT22AUG","August Latitude Equals Tilt Irradiance",179132.110000001,5.59141336579582,7.6,0,42
"LAT22SEP","September Latitude Equals Tilt Irradiance",170221.769999999,5.31328682460902,7.65,0,42
"LAT22OCT","October Latitude Equals Tilt Irradiance",144703.499999999,4.51676186908884,7.12,0,42
"LAT22NOV","November Latitude Equals Tilt Irradiance",119281.87,3.72325342572649,6.5,0,42
"LAT22DEC","December Latitude Equals Tilt Irradiance",105195,3.28354714860942,6,0,42
"SLD22WALK","Walkability Index",196416,6.13091113400131,20,0,53
"SLD22SLC","Smart Location Coefficient",1311438,40.9351062833599,100,0,306
