VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"HINE4A2501","Householder Age 25-34 with Income Less than $10000",913005.003572717,22.4011827065956,2364.82199888851,0,10581
"HINE4A2502","Householder Age 25-34 with Income $10000 to $14999",430550.980717427,10.5638535887682,394.085799727589,0,13164
"HINE4A2503","Householder Age 25-34 with Income $15000 to $19999",387650.959794723,9.51127315049496,267.125399861485,0,12530
"HINE4A2504","Householder Age 25-34 with Income $20000 to $24999",445177.938823951,10.9227356975231,301.186002507806,0,11843
"HINE4A2505","Householder Age 25-34 with Income $25000 to $29999",510262.948111239,12.5196395247746,313.088599912822,0,11436
"HINE4A2506","Householder Age 25-34 with Income $30000 to $34999",664987.95381153,16.3159200581871,473.591700842604,0,10739
"HINE4A2507","Householder Age 25-34 with Income $35000 to $39999",583176.989588314,14.3086338442062,546.879199594259,0,10782
"HINE4A2508","Householder Age 25-34 with Income $40000 to $44999",702104.865015646,17.2266080677097,513.922499835491,0,10361
"HINE4A2509","Householder Age 25-34 with Income $45000 to $49999",612885.946006489,15.0375627746519,489.220900136977,0,10482
"HINE4A2510","Householder Age 25-34 with Income $50000 to $59999",1272619.88761625,31.2245721622359,795.459901003167,0,9028
"HINE4A2511","Householder Age 25-34 with Income $60000 to $74999",1921147.87961178,47.1366361511343,1315.73680146225,0,8538
"HINE4A2512","Householder Age 25-34 with Income $75000 to $99999",2802580.7161426,68.7631748200947,1538.09840060398,0,8323
"HINE4A2513","Householder Age 25-34 with Income $100000 to $124999",2147576.80243713,52.6922198011907,1289.59990148246,0,8463
"HINE4A2514","Householder Age 25-34 with Income $125000 to $149999",1541563.93193249,37.8232924879772,1098.83370041475,0,8893
"HINE4A2515","Householder Age 25-34 with Income $150000 to $199999",1777763.99815583,43.618617615522,1911.3388007991,0,9065
"HINE4A2516","Householder Age 25-34 with Income $200000 or more",2046827.99380383,50.2202810266662,3635.54720103368,0,9965
"HINE4A3501","Householder Age 35-44 with Income Less than $10000",1014734.00050965,24.8971710506085,1462.33559937624,0,10412
"HINE4A3502","Householder Age 35-44 with Income $10000 to $14999",564270.980729199,13.8447623899992,541.969999689609,0,12751
"HINE4A3503","Householder Age 35-44 with Income $15000 to $19999",471687.9476049,11.573176328113,363.03680141829,0,12114
"HINE4A3504","Householder Age 35-44 with Income $20000 to $24999",521168.952224262,12.7872255618486,409.366499982774,0,11570
"HINE4A3505","Householder Age 35-44 with Income $25000 to $29999",572725.943423212,14.0522105018331,405.617400273681,0,11291
"HINE4A3506","Householder Age 35-44 with Income $30000 to $34999",731719.981620477,17.9532345761581,580.083201196045,0,10657
"HINE4A3507","Householder Age 35-44 with Income $35000 to $39999",607630.998496224,14.9086291556352,538.574499517679,0,10793
"HINE4A3508","Householder Age 35-44 with Income $40000 to $44999",746721.865321922,18.3213157328047,513.180100576952,0,10367
"HINE4A3509","Householder Age 35-44 with Income $45000 to $49999",641937.94331398,15.7503727780254,458.659002257511,0,10493
"HINE4A3510","Householder Age 35-44 with Income $50000 to $59999",1349034.88822408,33.0994648336256,952.83990143612,0,9008
"HINE4A3511","Householder Age 35-44 with Income $60000 to $74999",2002114.91343522,49.1232159735806,1496.88000197709,0,8553
"HINE4A3512","Householder Age 35-44 with Income $75000 to $99999",2975719.77368654,73.0112563163762,1750.69790188409,0,8317
"HINE4A3513","Householder Age 35-44 with Income $100000 to $124999",2451885.82436672,60.1586432849993,1635.35780133307,0,8389
"HINE4A3514","Householder Age 35-44 with Income $125000 to $149999",1949470.94866301,47.8315614167631,1395.47090087831,0,8752
"HINE4A3515","Householder Age 35-44 with Income $150000 to $199999",2589136.00429577,63.5261673895471,2053.78220073879,0,8890
"HINE4A3516","Householder Age 35-44 with Income $200000 or more",3924447.99011576,96.2889317200913,4517.55380119756,0,9691
"HINE4A4501","Householder Age 45-54 with Income Less than $10000",923945.990502987,22.6696270702698,1105.84319968848,0,10550
"HINE4A4502","Householder Age 45-54 with Income $10000 to $14999",518013.994623018,12.7098165866727,449.946499664336,0,12809
"HINE4A4503","Householder Age 45-54 with Income $15000 to $19999",438020.965403594,10.7471346125474,318.295301271602,0,12505
"HINE4A4504","Householder Age 45-54 with Income $20000 to $24999",470545.970818208,11.5451571709941,370.994799956679,0,11924
"HINE4A4505","Householder Age 45-54 with Income $25000 to $29999",500579.957421075,12.2820609323816,353.348300404847,0,11699
"HINE4A4506","Householder Age 45-54 with Income $30000 to $34999",589515.966409743,14.4641648406346,479.779001096264,0,11068
"HINE4A4507","Householder Age 45-54 with Income $35000 to $39999",537421.007684997,13.1859805109551,421.103299595416,0,11025
"HINE4A4508","Householder Age 45-54 with Income $40000 to $44999",611911.901409686,15.0136639450815,436.039700452238,0,10653
"HINE4A4509","Householder Age 45-54 with Income $45000 to $49999",555239.95330681,13.6231801483625,372.241102000698,0,10655
"HINE4A4510","Householder Age 45-54 with Income $50000 to $59999",1127405.92361278,27.661651338734,827.201401216909,0,9112
"HINE4A4511","Householder Age 45-54 with Income $60000 to $74999",1707988.9531266,41.906640653792,1363.64570179768,0,8583
"HINE4A4512","Householder Age 45-54 with Income $75000 to $99999",2635723.75888023,64.6692288166505,1676.02540161274,0,8349
"HINE4A4513","Householder Age 45-54 with Income $100000 to $124999",2259728.85645386,55.4439447568237,1234.74250101671,0,8436
"HINE4A4514","Householder Age 45-54 with Income $125000 to $149999",1919440.97727202,47.0947561712595,1201.6433002241,0,8749
"HINE4A4515","Householder Age 45-54 with Income $150000 to $199999",2765767.95661783,67.8599493735512,1769.11500101536,0,8846
"HINE4A4516","Householder Age 45-54 with Income $200000 or more",4739931.96432698,116.297371355276,4550.13079862203,0,9666
"HINE4A5501","Householder Age 55-64 with Income Less than $10000",1263774.94021571,31.0075555172291,979.259499519598,0,10115
"HINE4A5502","Householder Age 55-64 with Income $10000 to $14999",905306.976432335,22.2123065101046,821.11329953745,0,12085
"HINE4A5503","Householder Age 55-64 with Income $15000 to $19999",701558.912318967,17.2132127565563,391.802299624309,0,11295
"HINE4A5504","Householder Age 55-64 with Income $20000 to $24999",660628.936927622,16.2089686907187,392.274099983275,0,10960
"HINE4A5505","Householder Age 55-64 with Income $25000 to $29999",668459.924643248,16.401107163021,374.54700012505,0,10835
"HINE4A5506","Householder Age 55-64 with Income $30000 to $34999",731668.961919498,17.9519827739897,476.012300705537,0,10520
"HINE4A5507","Householder Age 55-64 with Income $35000 to $39999",637578.996092452,15.6434231197697,462.35240081558,0,10521
"HINE4A5508","Householder Age 55-64 with Income $40000 to $44999",709513.873315994,17.4083929954607,390.882200380787,0,10284
"HINE4A5509","Householder Age 55-64 with Income $45000 to $49999",634334.930915358,15.5638278311789,314.582101536915,0,10312
"HINE4A5510","Householder Age 55-64 with Income $50000 to $59999",1265064.8896499,31.0392052812988,692.202700719237,0,8982
"HINE4A5511","Householder Age 55-64 with Income $60000 to $74999",1826558.95454926,44.8158342014688,1082.40750096366,0,8554
"HINE4A5512","Householder Age 55-64 with Income $75000 to $99999",2741099.67568916,67.2546967561195,1381.45340066403,0,8331
