VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"SCHX3FPGRA","Females in (public) graduate/professnl school",1659120,40.7076085089678,2732,0,16322
"SCHX3FVGRA","Females in (private) gradaute/professnl school",1099371,26.9737959123586,2930,0,21160
"SCHX3FNISC","Females 3+ not in school",123288134,3024.95605662831,49605,0,7992
"SCHX3FTOT","Females 3+",163914907,4021.76085089678,71873,0,7962
"SCHX3MPPS","Males in (public) nursery school, preschool",1250050,30.6708050150894,945,0,13870
"SCHX3MVPS","Males in (private) nursery school, preschool",904056,22.1816129744584,1558,0,20246
"SCHX3MPK","Males in (public) kindergarten",1762481,43.2436391294747,1347,0,12996
"SCHX3MVK","Males in (private) kindergarten",328496,8.05986701670879,2025,0,25471
"SCHX3MP1","Males in (public) grades 1-4",7093528,174.04440954928,4955,0,9332
"SCHX3MV1","Males in (private) grades 1-4",1126919,27.6497043452658,5442,0,17045
"SCHX3MP5","Males in (public) grades 5-8",7707036,189.097234830827,5391,0,9154
"SCHX3MV5","Males in (private) grades 5-8",1122012,27.5293078489585,4923,0,16816
"SCHX3MP9","Males in (public) grades 9-12",8040833,197.287165394901,5164,0,9084
"SCHX3MV9","Males in (private) grades 9-12",1000093,24.5379444021886,3575,0,17723
"SCHX3MPCOL","Males in (public) college undergraduate years",5828283,143.000785141203,15028,0,11058
"SCHX3MVCOL","Males in (private) college undergraduate years",1673543,41.0614863704394,8929,0,18463
"SCHX3MPGRA","Males in (public) grad or professional school",1123439,27.5643202394681,3600,0,20339
"SCHX3MVGRA","Males in (private) grad or professional school",762096,18.6985303138111,2574,0,24040
"SCHX3MNISC","Males 3+ not in school",121079174,2970.75775940329,47332,0,7986
"SCHX3MTOT","Males 3+",160806259,3945.48811247148,69587,0,7956
"SEXE3MAL","Population male",166090020,4075.12868955026,72432,0,7956
"SEXE3FEM","Population female",168961181,4145.5745270751,74634,0,7961
"VSEX31VETF","Veteran Status: Female: 18-34 years: Veteran",256784,6.30036558137252,812,0,26713
"VSEX31NVTF","Veteran Status: Female: 18-34 years: Nonveteran",37775418,926.844910076797,20216,0,8264
"VSEX32VETF","Veteran Status: Female: 35-54 years: Veteran",663797,16.2866992173124,1275,0,19241
"VSEX32NVTF","Veteran Status: Female: 35-54 years: Nonveteran",42665900,1046.83612630959,25769,0,8209
"VSEX33VETF","Veteran Status: Female: 55-64 years: Veteran",415889,10.2041121770493,703,0,20860
"VSEX33NVTF","Veteran Status: Female: 55-64 years: Nonveteran",22114098,542.584046912187,7411,0,8353
"VSEX34VETF","Veteran Status: Female: 65-74 years: Veteran",252407,6.19297298623549,458,0,24050
"VSEX34NVTF","Veteran Status: Female: 65-74 years: Nonveteran",18167709,445.756777976789,13303,0,8429
"VSEX35VETF","Veteran Status: Female: 75+ years: Veteran",118458,2.90644551856123,212,0,28182
"VSEX35NVTF","Veteran Status: Female: 75+ years: Nonveteran",13100191,321.421866182496,10835,0,8669
"VSEX3TOTF","Civilian Females 18+",135532743,3325.38565154452,52559,0,7970
"VSEX31VETM","Veteran Status: Male: 18-34 years: Veteran",1137721,27.9147385725152,2227,0,15812
"VSEX31NVTM","Veteran Status: Male: 18-34 years: Nonveteran",37456939,919.030816792207,22308,0,8229
"VSEX32VETM","Veteran Status: Male: 35-54 years: Veteran",3413666,83.756557155826,3669,0,10655
"VSEX32NVTM","Veteran Status: Male: 35-54 years: Nonveteran",39860278,977.998331574944,24383,0,8215
"VSEX33VETM","Veteran Status: Male: 55-64 years: Veteran",2752843,67.5428269990431,2047,0,10721
"VSEX33NVTM","Veteran Status: Male: 55-64 years: Nonveteran",18831957,462.054542777928,6565,0,8385
"VSEX34VETM","Veteran Status: Male: 65-74 years: Veteran",3958965,97.1358294280737,3462,0,9367
"VSEX34NVTM","Veteran Status: Male: 65-74 years: Nonveteran",12431883,305.02448659126,6366,0,8580
"VSEX35VETM","Veteran Status: Male: 75+ years: Veteran",4033186,98.9568908408372,5402,0,9610
"VSEX35NVTM","Veteran Status: Male: 75+ years: Nonveteran",5537988,135.878204970925,6111,0,9369
"VSEX3TOTM","Civilian Males 18+",129416770,3175.32620163408,50679,0,7965
"VETX3TOT","Civilian Veterans 18+",17006277,417.260274308708,11238,0,8465
"POPE3","Population",335051036,8220.69916824104,147066,0,7945
"POPE3DENS","Population Density (Per Square Mile)",46236302,1134.43830507643,255200,0,8329
"HAGE3GT75","Householder Age 75+",15311727,375.683367274333,10760,0,8365
