VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"CRMA2PERC","Personal Crime",2848909,69.8998699609883,1728,0,7943
"CRMA2MURD","Murder",2757076,67.6466864587678,2293,0,7943
"CRMA2RAPE","Rape",3608127,88.5277866378782,2071,0,7943
"CRMA2ROBB","Robbery",1862094,45.6877100866109,2075,0,7943
"CRMA2ASST","Assault",3087420,75.7518953799347,1795,0,7943
"CRMA2PROC","Property Crime",2482175,60.9018082783326,1643,0,7943
"CRMA2BURG","Burglary",2819366,69.1750128812228,1662,0,7943
"CRMA2LARC","Larceny",2432140,59.6741664008636,1630,0,7943
"CRMA2MVEH","Motor Vehicle Theft",2266857,55.6188384817332,1703,0,7943
"CRMA2TOTC","Total Crime",2535410,62.2079642760753,1655,0,7943
